date,AAPL
2014-03-31,70.95004943355082
2014-04-01,71.59908759489285
2014-04-02,71.71805589330587
2014-04-03,71.22103277993598
2014-04-04,70.2996894022264
2014-04-07,69.19592796695021
2014-04-08,69.19196235700309
2014-04-09,70.10140890487139
2014-04-10,69.19724983693257
2014-04-11,68.68568615375665
2014-04-14,68.95931324010654
2014-04-15,68.4675643879663
2014-04-16,68.60637395481464
2014-04-17,69.3902428543581
2014-04-21,70.21376785337256
2014-04-22,70.28369477543976
2014-04-23,69.36512732469313
2014-04-24,75.0518119888347
2014-04-25,75.60303177148164
2014-04-28,78.5309737824239
2014-04-29,78.29832466552736
2014-04-30,78.00222578947721
2014-05-01,78.18596571702619
2014-05-02,78.33137141508655
2014-05-05,79.43909846030984
2014-05-06,78.57327362185963
2014-05-07,78.29832466552736
